"Colony","Trial","TrialNumber","Day","Area","Length","Nest.Area","HumLevel","Number.Colony","Number.Queens","Salt","SubstrateISide","StartWtI","UsedWtI","StartWtII","UsedWtII","CollWallWt","Volume","Density","PropIIWall","PropIWall","Humidity","Temperature","Std.DevHum","Std.DevTemp","FullHumidity","FullTemperature","FullStd.DevHum","FullStd.DevTemp","ColonyMember"
2,2,4,10,0,0,6570,"Low",92,1,"P2O5","L",10.00315,9.9934,10.00014,9.95563,0.03893,0,0,0.820309620346477,0.179690379653523,1.07905801687764,20.1997394514768,0.407570870624868,0.460506060466084,1.07905801687764,20.1997394514768,0.407570870624868,0.460506060466084,"Brood"
3,2,3,10,830.39,57.231,3659.686,"Low",81.33333333,1,"MgCl","R",10.0022,9.95612,10.0082,8.93572,1.06993,1245.585,0.000858977909978042,0.958804176798741,0.0411958232012587,36.3136545012165,20.5797080291971,0.519202011860445,0.307625124110752,35.89155375,20.388145,0.688396980393004,0.477914384774059,"Brood"
4,2,3,10,0,0,6570,"Med",16.66666667,2,"MgNO3","R",10.00394,10.00161,10.00471,9.98611,0.00561,0,0,0.888676540850424,0.111323459149576,56.1149931192661,20.6512178899083,0.399735518824657,0.23559853004078,55.9607645631068,20.5520436893204,0.481571930337509,0.260785546703809,"Brood"
5,2,3,10,0,0,6570,"Med",10.66666667,4,"NaCl","R",10.0031,9.9986,10.0019,9.99035,0,0,0,0.719626168224287,0.280373831775713,74.2426559139785,20.3528010752688,0.74808639964886,0.438119521408567,73.1179242424242,20.3068457300275,1.38232290894628,0.41592283555182,"Brood"
7,2,4,10,629.5235,75.32,1642.156,"Low",83,1,"LiCl","R",10.00393,9.8392,10.00407,9.69058,0.42353,944.28525,0.000448519131268862,0.65553510936389,0.34446489063611,13.7391572815534,20.1771766990291,0.17548211666395,0.461815717201626,13.8385856832972,20.2926648590022,0.331005436596563,0.454142773210972,"Brood"
11,2,4,10,23.927,14.318,6570,"Med",19.66666667,1,"NaCl","L",10.0014,9.99647,10.00333,9.96781,0.02762,35.8905,0.000769562976275059,0.87812113720643,0.12187886279357,71.9360028248588,20.2585536723164,0.776083800338472,0.385997436766673,73.1179242424242,20.3068457300275,1.38232290894628,0.41592283555182,"Brood"
12,2,3,10,7998.805,360.147,7042.286,"High",67.33333333,1,"KCl","R",10.0016,9.70973,10.0029,5.46809,4.74979,11998.2075,0.000395874967156552,0.939529863177174,0.0604701368228263,85.7530513513513,20.3292135135135,0.882943313228467,0.391701562646913,86.2742997198879,20.3073333333333,1.01753822624966,0.392519085334161,"Brood"
13,2,4,10,3701.209,230.821,3750.675,"Med",189.6666667,1,"MgNO3","L",10.00622,9.2587,10.00577,9.26986,1.46415,5551.8135,0.000263724637003747,0.496086771873293,0.503913228126707,55.787456185567,20.4406005154639,0.506623861551569,0.242292054106068,55.9607645631068,20.5520436893204,0.481571930337509,0.260785546703809,"Brood"
14,2,3,10,1945.579,146.172,3381.652,"Med",63,8,"KCO3","L",10.00255,9.84351,10.00105,9.50064,0.60449,2918.3685,0.000207132855223732,0.758829327469862,0.241170672530138,45.6149224598931,20.5719331550802,0.546897681838538,0.30869190992263,45.9847823834197,20.4677448186529,0.647607042307041,0.362904801002272,"Brood"
15,2,4,10,0,0,6570,"High",64,4,"K2SO4","R",10.00139,9.99729,10.00109,9.999,0.00873,0,0,0.3376413570273,0.6623586429727,99.9029919857525,20.3613357079252,0.510978250675102,0.353800789439401,99.8592921511628,20.3998454457364,0.564378133070504,0.344266763299543,"Brood"
17,2,4,10,2127.038,161.711,1958.342,"Low",16,1,"MgCl","L",10.00396,9.84172,10.00178,9.08477,1.02935,3190.557,0.000322623918018077,0.84967338429465,0.15032661570535,35.4455809768638,20.1857480719794,0.550346841666265,0.53889035309361,35.89155375,20.388145,0.688396980393004,0.477914384774059,"Brood"
18,2,3,10,985.9585,91.249,4224.6,"High",109,1,"NaAmm","R",10.0058,9.75545,10.0005,8.67094,1.50224,1478.93775,0.00101575607222143,0.841541606800387,0.158458393199613,65.6909809885932,20.2355779467681,25.4351075081297,0.490783320056888,91.3436100719425,20.1135741007194,19.6242505251706,0.535995105634041,"Brood"
20,2,3,10,0,0,1558.558,"High",70,2,"K2SO4","L",10.0002,9.988,10.0039,9.93581,0.02815,0,0,0.848050815792751,0.151949184207249,99.8071402763018,20.4458034006376,0.61838460238903,0.326826567042206,99.8592921511628,20.3998454457364,0.564378133070504,0.344266763299543,"Brood"
21,2,4,10,0,0,6570,"High",148,11,"NaAmm","L",10.00059,9.99947,10.00045,9.92206,0.05954,0,0,0.985913721544457,0.014086278455543,99.9986985246953,20.0724105195638,0.0363291569161465,0.544423815541773,91.3436100719425,20.1135741007194,19.6242505251706,0.535995105634041,"Brood"
22,2,4,10,0,0,6570,"Med",14,3,"KCO3","R",10.00059,9.99947,10.00006,9.9717,0.01034,0,0,0.96200814111261,0.0379918588873898,46.3323391959799,20.3698391959799,0.532452387172695,0.38262749215721,45.9847823834197,20.4677448186529,0.647607042307041,0.362904801002272,"Brood"
