Colony,WorkerDeath,BroodDeath,TrialNumber
1,0.827922078,0.703296703,1
2,0.107843137,0.26984127,2
3,0.241106719,0,1
4,0.639705882,0.666666667,1
5,0.775119617,0.807228916,1
6,1,1,1
7,0.407608696,0,2
8,0.274774775,0,3
11,0,0,2
12,0.335260116,0.175510204,1
13,0.441666667,0.045302013,2
14,0.208092486,0,1
15,0.316455696,0.020408163,2
17,0.349206349,0.547169811,2
18,0.356466877,0.282894737,1
20,0.144230769,0.26056338,1
21,0.47,0.429305913,2
22,0.724422442,0.746987952,2
